,name
0,1
1,1
2,1
3,1
4,4
5,5
6,7
7,4
8,5
9,7
10,7
11,9
12,7
13,8
14,7
15,1
16,5
17,5
18,3
19,8
20,8
21,1
22,7
23,7
24,6
25,3
26,4
27,4
28,5
29,8
30,4
31,5
32,4
33,4
34,4
35,4
36,4
37,4
38,8
39,8
40,8
41,8
42,8
43,8
44,6
45,1
46,7
47,4
48,1
49,7
50,6
51,2
52,1
53,4
54,4
55,4
56,4
57,3
58,7
59,8
60,3
61,4
62,4
63,3
64,5
65,3
66,9
67,8
68,7
69,5
70,7
71,7
72,8
73,8
74,4
75,4
76,4
77,4
78,6
79,1
80,8
81,6
82,4
83,3
84,9
85,9
86,9
87,9
88,4
89,7
90,7
91,4
92,4
93,4
94,4
95,9
96,2
97,4
98,1
99,6
100,6
101,6
102,6
103,1
104,6
105,9
106,7
107,4
108,8
109,9
110,9
111,8
112,9
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,2
122,7
123,9
124,8
125,4
126,4
127,5
128,4
129,4
130,8
131,8
132,8
133,8
134,8
135,8
136,8
137,8
138,4
139,3
140,7
141,4
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,5
151,5
152,4
153,7
154,2
155,4
156,4
157,7
158,9
159,9
160,9
161,9
162,9
163,8
164,4
165,2
166,3
167,9
168,2
169,6
170,5
171,1
172,2
173,8
174,4
175,2
176,8
177,8
178,8
179,4
180,4
181,4
182,5
183,7
184,4
185,2
186,1
187,8
188,6
189,1
190,7
191,3
192,1
193,8
194,3
195,8
196,8
197,7
198,7
199,7
200,7
201,7
202,7
203,8
204,8
205,8
206,8
207,5
208,8
209,7
210,8
211,7
212,7
213,8
214,7
215,7
216,7
217,1
218,2
219,2
220,8
221,8
222,5
223,5
224,8
225,5
226,5
227,5
228,4
229,8
230,7
231,8
232,5
233,4
234,8
235,2
236,4
237,4
238,3
239,3
240,3
241,3
242,3
243,5
244,9
245,2
246,2
247,2
248,4
249,2
250,2
251,8
252,4
253,2
254,8
255,7
256,2
257,9
258,2
259,4
260,2
261,4
262,2
263,2
264,7
265,7
266,4
267,5
268,5
269,4
270,4
271,5
272,7
273,7
274,1
275,8
276,8
277,4
278,7
279,6
280,5
281,5
282,7
283,7
284,6
285,8
286,9
287,9
288,4
289,5
290,8
291,1
292,1
293,1
294,9
295,8
296,9
297,9
298,2
299,3
300,8
301,5
302,5
303,4
304,8
305,1
306,5
307,4
308,2
309,2
310,5
311,5
312,5
313,4
314,4
315,4
316,9
317,8
318,8
319,2
320,4
321,2
322,4
323,7
324,7
325,3
326,2
327,4
328,4
329,4
330,9
331,1
332,2
333,2
334,3
335,7
336,9
337,4
338,2
339,7
340,2
341,8
342,1
343,4
344,4
345,5
346,5
347,9
348,9
349,5
350,5
351,9
352,5
353,7
354,2
355,8
356,4
357,7
358,8
359,2
360,2
361,2
362,2
363,7
364,7
365,5
366,5
367,4
368,8
369,4
370,5
371,7
372,4
373,9
374,9
375,5
376,8
377,3
378,2
379,7
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,9
388,9
389,5
390,2
391,2
392,6
393,3
394,7
395,7
396,6
397,2
398,2
399,4
400,7
401,2
402,2
403,2
404,9
405,9
406,9
407,3
408,8
409,3
410,7
411,8
412,8
413,8
414,8
415,8
416,5
417,5
418,5
419,2
420,8
421,4
422,4
423,4
424,7
425,7
426,7
427,6
428,7
429,8
430,1
431,2
432,4
433,4
434,8
435,8
436,8
437,5
438,3
439,2
440,9
441,8
442,4
443,9
444,9
445,9
446,9
447,9
448,9
449,9
450,9
451,9
452,9
453,9
454,9
455,9
456,7
457,7
458,3
459,7
460,5
461,3
462,6
463,4
464,4
465,1
466,6
467,8
468,4
469,8
470,5
471,4
472,4
473,4
474,4
475,8
476,5
477,3
478,7
479,7
480,5
481,7
482,7
483,8
484,8
485,9
486,9
487,4
488,5
489,9
490,9
491,9
492,8
493,8
494,8
495,8
496,8
497,5
498,9
499,8
500,4
501,9
502,9
503,5
504,4
505,4
506,9
507,4
508,4
509,2
510,2
511,5
512,7
513,5
514,5
515,1
516,4
517,4
518,7
519,7
520,1
521,8
522,7
523,7
524,7
525,8
526,4
527,7
528,4
529,4
530,8
531,4
532,5
533,5
534,5
535,5
536,5
537,7
538,8
539,2
540,7
541,3
542,3
543,2
544,1
545,4
546,8
547,8
548,8
549,7
550,7
551,7
552,7
553,7
554,7
555,7
556,7
557,7
558,7
559,8
560,3
561,7
562,2
563,6
564,9
565,6
566,4
567,4
568,4
569,4
570,4
571,4
572,4
573,4
574,1
575,1
576,8
577,5
578,5
579,5
580,5
581,5
582,5
583,5
584,5
585,5
586,5
587,5
588,5
589,5
590,5
591,5
592,5
593,5
594,8
595,4
596,4
597,4
598,9
599,7
600,9
601,3
602,7
603,4
604,5
605,5
606,8
607,4
608,9
609,9
610,9
611,9
612,7
613,5
614,7
615,4
616,1
617,3
618,3
619,2
620,8
621,8
622,8
623,8
624,7
625,2
626,2
627,5
628,5
629,5
630,5
631,4
632,7
633,7
634,7
635,7
636,9
637,8
638,8
639,8
640,8
641,8
642,8
643,5
644,9
645,9
646,3
647,3
648,3
649,3
650,3
651,3
652,3
653,3
654,3
655,3
656,3
657,2
658,8
659,8
660,8
661,8
662,8
663,9
664,9
665,9
666,3
667,7
668,7
669,7
670,4
671,2
672,2
673,4
674,4
675,2
676,2
677,2
678,1
679,8
680,8
681,2
682,2
683,8
684,8
685,4
686,5
687,8
688,4
689,4
690,4
691,5
692,9
693,7
694,8
695,2
696,6
697,7
698,2
699,2
700,4
701,5
702,5
703,9
704,9
705,5
706,5
707,9
708,9
709,7
710,7
711,5
712,5
713,5
714,5
715,8
716,5
717,5
718,5
719,5
720,8
721,9
722,5
723,5
724,5
725,5
726,5
727,8
728,5
729,8
730,2
731,8
732,4
733,5
734,5
735,8
736,8
737,8
738,8
739,5
740,5
741,5
742,5
743,5
744,5
745,5
746,5
747,5
748,5
749,3
750,3
751,8
752,6
753,3
754,7
755,2
756,8
757,3
758,4
759,4
760,9
761,8
762,8
763,8
764,8
765,8
766,8
767,8
768,8
769,8
770,8
771,8
772,8
773,8
774,8
775,8
776,8
777,8
778,8
779,8
780,8
781,8
782,8
783,8
784,8
785,8
786,7
787,4
788,8
789,7
790,1
791,7
792,7
793,4
794,6
795,6
796,4
797,4
798,7
799,7
800,5
801,3
802,1
803,1
804,5
805,4
806,3
807,8
808,2
809,6
810,4
811,7
812,7
