,0
755,6
756,4
757,4
758,-1
759,-1
760,5
761,5
762,4
763,7
764,4
765,6
766,3
767,3
768,-1
769,-1
770,5
771,6
772,7
773,1
774,6
775,6
776,4
777,6
778,6
779,7
780,4
781,-1
782,7
783,6
784,5
785,3
786,3
787,6
788,-1
789,8
790,9
791,2
792,9
793,6
794,5
795,7
796,-1
797,2
798,6
799,8
800,-1
801,2
802,-1
803,2
804,7
805,7
806,3
807,4
808,-1
809,8
810,2
811,4
812,-1
813,3
814,-1
815,1
816,4
817,-1
818,6
819,3
820,-1
821,7
822,4
823,5
824,7
825,8
826,-1
827,-1
828,-1
829,-1
830,7
831,8
832,1
833,9
834,6
835,4
836,1
837,7
838,6
839,5
840,5
841,8
842,-1
843,-1
844,6
845,2
846,-1
847,9
848,9
849,8
850,2
851,7
852,5
853,-1
854,7
855,8
856,-1
857,-1
858,-1
859,1
860,1
861,4
862,8
863,2
864,-1
865,1
866,8
867,9
868,5
869,7
870,-1
871,8
872,1
873,3
874,6
875,8
876,-1
877,-1
878,9
879,4
880,6
881,1
882,4
883,-1
884,8
885,8
886,-1
887,8
888,6
889,6
890,-1
891,7
892,7
893,1
894,-1
895,-1
896,-1
897,-1
898,4
899,-1
900,-1
901,4
902,5
903,-1
904,1
905,6
906,-1
907,9
908,8
909,-1
910,-1
911,4
912,2
913,5
914,4
915,-1
916,4
917,8
918,4
919,6
920,7
921,2
922,-1
923,-1
924,8
925,2
926,4
927,5
928,8
929,3
930,6
931,-1
932,6
933,-1
934,-1
935,5
936,-1
937,4
938,6
939,5
940,8
941,1
942,6
943,-1
944,6
945,6
946,6
947,6
948,1
949,4
950,-1
951,5
952,6
953,4
954,-1
955,9
956,7
957,-1
958,4
959,6
960,-1
961,-1
962,-1
963,1
964,6
965,6
966,4
967,6
968,6
969,-1
970,6
971,7
972,5
973,6
974,4
975,1
976,6
977,7
978,6
979,7
980,4
981,6
982,4
983,7
984,6
985,6
986,6
987,-1
988,6
989,-1
990,6
991,6
992,6
993,7
994,4
995,5
996,7
997,6
998,7
999,-1
1000,8
1001,-1
1002,1
1003,-1
1004,-1
1005,-1
1006,2
1007,4
1008,9
1009,-1
1010,6
1011,6
1012,4
1013,7
1014,-1
1015,6
1016,6
1017,-1
1018,8
1019,2
1020,8
1021,5
1022,5
1023,7
1024,-1
1025,7
1026,7
1027,4
1028,7
1029,8
1030,2
1031,2
1032,3
1033,6
1034,3
1035,6
1036,6
1037,7
1038,1
1039,5
1040,-1
1041,8
1042,4
1043,8
1044,2
1045,4
1046,8
1047,6
1048,7
1049,2
1050,6
1051,8
1052,4
1053,-1
1054,-1
1055,8
1056,-1
1057,4
1058,2
1059,6
1060,7
1061,2
1062,4
1063,5
1064,2
1065,8
1066,6
1067,5
1068,1
1069,-1
1070,-1
1071,-1
1072,5
1073,7
1074,-1
1075,6
1076,4
1077,1
1078,2
1079,8
1080,6
1081,4
1082,8
1083,6
1084,6
1085,6
1086,5
1087,9
1088,1
1089,7
1090,3
1091,6
1092,5
1093,6
1094,1
1095,5
1096,6
1097,-1
1098,7
1099,6
1100,6
1101,4
1102,-1
1103,4
1104,8
1105,-1
1106,4
1107,3
1108,6
1109,8
1110,6
1111,4
1112,1
1113,6
1114,8
1115,7
1116,8
1117,6
1118,7
1119,1
1120,6
1121,2
1122,1
1123,9
1124,6
1125,4
1126,2
1127,5
1128,6
1129,8
1130,1
1131,-1
1132,-1
1133,6
1134,7
1135,2
1136,7
1137,8
1138,6
1139,-1
1140,5
1141,6
1142,1
1143,6
1144,4
1145,6
1146,-1
1147,9
1148,2
1149,-1
1150,6
1151,6
1152,6
1153,-1
1154,1
1155,-1
1156,8
1157,-1
1158,1
1159,7
1160,6
1161,2
1162,-1
1163,1
1164,-1
1165,6
1166,1
1167,4
1168,1
1169,-1
1170,-1
1171,-1
1172,4
1173,4
1174,-1
1175,4
1176,4
1177,4
1178,4
1179,7
1180,-1
1181,8
1182,7
1183,6
1184,7
1185,7
1186,4
1187,-1
1188,-1
1189,5
1190,7
1191,4
1192,4
1193,7
1194,6
1195,-1
1196,-1
1197,4
1198,-1
1199,-1
1200,4
1201,5
1202,-1
1203,4
1204,3
1205,8
1206,2
1207,6
1208,8
1209,6
1210,9
1211,4
1212,7
1213,3
1214,4
1215,7
1216,5
1217,6
1218,-1
1219,-1
1220,-1
1221,6
1222,-1
1223,7
1224,3
1225,4
1226,8
1227,6
1228,4
1229,-1
1230,1
1231,1
1232,-1
1233,-1
1234,-1
1235,2
1236,6
1237,8
1238,4
1239,7
1240,7
1241,-1
1242,8
1243,8
1244,4
1245,5
1246,5
1247,7
1248,-1
1249,7
1250,5
1251,6
1252,4
1253,5
1254,5
1255,6
1256,6
1257,-1
1258,6
1259,-1
1260,6
1261,-1
1262,-1
1263,4
1264,-1
1265,-1
1266,7
1267,-1
1268,4
1269,-1
1270,8
1271,-1
1272,4
1273,8
1274,-1
1275,7
1276,8
1277,9
1278,-1
1279,7
1280,6
1281,-1
1282,6
1283,6
1284,6
1285,4
1286,-1
1287,5
1288,4
1289,4
1290,4
1291,6
1292,5
1293,6
1294,3
1295,3
1296,6
1297,5
1298,5
1299,4
1300,-1
1301,6
1302,-1
1303,8
1304,4
1305,4
1306,6
1307,8
1308,8
1309,6
1310,7
1311,7
1312,-1
1313,1
1314,8
1315,-1
1316,-1
1317,-1
1318,8
1319,8
1320,-1
1321,7
1322,4
1323,7
1324,-1
1325,9
1326,-1
1327,-1
1328,-1
1329,-1
1330,6
1331,4
1332,6
1333,7
1334,4
1335,-1
1336,6
1337,-1
1338,9
1339,2
1340,-1
1341,6
1342,4
1343,6
1344,4
1345,-1
1346,6
1347,-1
1348,-1
1349,6
1350,6
1351,8
1352,9
1353,1
1354,5
1355,2
1356,1
1357,-1
1358,4
1359,4
1360,6
1361,3
1362,5
1363,8
1364,1
1365,-1
1366,4
1367,6
1368,4
1369,5
1370,1
1371,-1
1372,5
1373,4
1374,-1
1375,4
1376,7
1377,-1
1378,-1
1379,7
1380,4
1381,3
1382,7
1383,-1
1384,8
1385,-1
1386,4
1387,6
1388,5
1389,-1
1390,7
1391,1
1392,8
1393,-1
1394,6
1395,4
1396,-1
1397,-1
1398,-1
1399,2
1400,7
1401,4
