,0
734,3
735,4
736,3
737,4
738,-1
739,3
740,3
741,3
742,1
743,5
744,5
745,-1
746,-1
747,3
748,-1
749,4
750,-1
751,1
752,4
753,-1
754,5
755,4
756,3
757,4
758,-1
759,-1
760,3
761,3
762,3
763,-1
764,4
765,4
766,2
767,2
768,-1
769,-1
770,3
771,4
772,5
773,1
774,4
775,4
776,3
777,4
778,4
779,-1
780,3
781,-1
782,5
783,4
784,3
785,2
786,2
787,4
788,-1
789,5
790,5
791,2
792,5
793,4
794,3
795,5
796,-1
797,2
798,4
799,5
800,-1
801,2
802,-1
803,2
804,-1
805,-1
806,2
807,4
808,-1
809,-1
810,2
811,3
812,-1
813,2
814,-1
815,1
816,4
817,-1
818,4
819,2
820,-1
821,5
822,3
823,3
824,-1
825,-1
826,-1
827,-1
828,-1
829,-1
830,-1
831,-1
832,1
833,5
834,4
835,4
836,1
837,-1
838,4
839,3
840,3
841,-1
842,-1
843,-1
844,4
845,2
846,-1
847,5
848,5
849,-1
850,2
851,5
852,3
853,-1
854,5
855,-1
856,-1
857,-1
858,-1
859,1
860,1
861,4
862,-1
863,2
864,-1
865,1
866,-1
867,5
868,3
869,5
870,-1
871,-1
872,1
873,2
874,4
875,-1
876,-1
877,-1
878,5
879,3
880,4
881,1
882,4
883,-1
884,-1
885,-1
886,-1
887,5
888,4
889,4
890,-1
891,5
892,5
893,1
894,-1
895,-1
896,-1
897,-1
898,3
899,-1
900,-1
901,3
902,3
903,-1
904,1
905,4
906,-1
907,5
908,-1
909,-1
910,-1
911,4
912,2
913,3
914,3
915,-1
916,3
917,-1
918,3
919,4
920,5
921,2
922,-1
923,-1
924,-1
925,2
926,3
927,3
928,5
929,2
930,4
931,-1
932,4
933,-1
934,-1
935,3
936,-1
937,3
938,4
939,3
940,-1
941,1
942,4
943,-1
944,4
945,4
946,4
947,4
948,1
949,4
950,-1
951,3
952,4
953,3
954,-1
955,5
956,-1
957,-1
958,3
959,4
960,-1
961,-1
962,-1
963,1
964,4
965,4
966,3
967,4
968,4
969,-1
970,4
971,5
972,3
973,4
974,3
975,1
976,4
977,-1
978,4
979,5
980,3
981,4
982,3
983,-1
984,4
985,4
986,4
987,-1
988,4
989,-1
990,4
991,4
992,4
993,5
994,3
995,3
996,-1
997,4
998,5
999,-1
1000,5
1001,-1
1002,1
1003,-1
